,Distance from site of stimulation to wrist (mm),Ulnar Nerve Conduction Velocity (m.s-1),Where are you from?   North I/South I/Other,Do you exercise? (Never/Rarely/ Occasionally /Frequently),Index finger length (mm),Height (mm)
P1,290,44.7,S,F,65,1750
P2,280,58.3,N,O,73,1810
P3,320,73.8,N,F,70,1750
P4,320,57.5,S,F,85,1700
P5,,57.1,O,F,65,1550
P6,,,,,,
P7,,,,,,
P8,,55.3,N,N,72,1650
P9,310,47,S,O,90,1800
P10,260,4.5,N,F,70,1570
P11,310,66.6,O,N,85,1860
P12,310,56,N,O,85,1750
P13,,,,,,
P14,,70.9,S,O,85,1830
P15,,,,,,
P16,,,,,,
P17,,,,,,
P18,,,,,,
P19,,,,,,
P20,300,56.8,O,O,80,1833
E1,340,60.6,N,O,83,
E2,300,69.5,N,R,90,1835
