,Distance from site of stimulation to wrist (mm),Ulnar Nerve Conduction Velocity (m.s-1),Where are you from?   North I/South I/Other,Do you exercise? (Never/Rarely/ Occasionally /Frequently),Index finger length (mm),Height (mm)
P1,290,51,N,O,84,1780
P2,250,62.5,N,R,81.2,1583
P3,290,32.1,N,O,73,1784
P4,280,55.8,S,F,75,1690
P5,250,92.8,N,F,72,1590
P6,300,65.3,S,F,80,1830
P7,260,45.1,N,F,80,1770
P8,280,66.2,S,O,80,1700
P9,300,56.7,S,F,85,1780
P10,,,,,,
P11,250,74.4,S,O,74,1645
P12,243,71.5,O,R,73,1660
P13,,,,,,
P14,290,59.2,N,N,70,1628
P15,290,53.8,O,O,79,1810
P16,280,41.9,S,O,85,1730
P17,,,N,O,76,1750
P18,,,,,,
P19,,,,,,
P20,270,71.9,O,O,75,1650
E1,280,62.5,S,F,77,1770
E2,,,,,,
