,Distance from site of stimulation to wrist (mm),Ulnar Nerve Conduction Velocity (m.s-1),Where are you from?   North I/South I/Other,Do you exercise? (Never/Rarely/ Occasionally /Frequently),Index finger length (mm),Height (mm)
P1,280,65.1,N,O,92,1820
P2,310,83.4,N,O,65,1630
P3,340,58.6,O,F,80,1880
P4,270,48.9,N,R,74,1750
P5,,,,,,
P6,290,47.9,N,O,80,1840
P7,,,,,,
P8,,,,,,
P9,,,,,,
P10,250,60.2,N,O,70,1710
P11,260,78.5,N,O,75,1640
P12,290,63,N,F,70,1750
P13,,,,,,
P14,300,52.5,S,O,6.5,1800
P15,253,57.7,N,O,65,1650
P16,280,53.9,O,O,70,1750
P17,280,62.2,N,F,80,1710
P18,,,,,,
P19,,,,,,
P20,330,80.5,N,O,85,1670
E1,,,,,,
E2,,,,,,
