,Distance from site of stimulation to wrist (mm),Ulnar Nerve Conduction Velocity (m.s-1),Where are you from?   North I/South I/Other,Do you exercise? (Never/Rarely/ Occasionally /Frequently),Index finger length (mm),Height (mm)
P1,270,58.1,N,F,95,1730
P2,300,60.1,N,R,93,1730
P3,320,71.1,N,F,101,1682
P4,315,63.9,N,F,90,1810
P5,240,60,N,O,65,1610
P6,270,52.9,N,F,75,1560
P7,310,62,N,R,80,1730
P8,300,76.2,N,F,65,1710
P9,260,70.4,N,O,55,1510
P10,260,50.6,O,O,72,175.5
P11,290,64.7,S,O,95,1790
P12,300,52.9,N,F,75,1700
P13,260,71.3,N,O,75,1665
P14,285,63.6,O,F,85,1627
P15,255,51,N,O,75,1790
P16,,,,,,
P17,285,,,,,
P18,260,49.9,N,R,75,1800
P19,290,64.4,N,R,100,1870
P20,,,,,,
E1,,,,,,
E2,,,,,,
