,Distance from site of stimulation to wrist (mm),Ulnar Nerve Conduction Velocity (m.s-1),Where are you from?   North I/South I/Other,Do you exercise? (Never/Rarely/ Occasionally /Frequently),Index finger length (mm),Height (mm)
P1,,,,,,
P2,280,59.7,S,O,89,1800
P3,260,60.5,N,F,75,1700
P4,370,67.3,S,F,87,1650
P5,320,71.1,S,F,80,1810
P6,230,57.3,S,R,87,1530
P7,300,75.5,N,F,71,1781
P8,246,70.3,S,O,80,1710
P9,,,,,,
P10,,,,,,
P11,280,55.7,N,frequently,115,1850
P12,290,74.4,N,O,80,1560
P13,290,63.2,S,F,70,1630
P14,310,55.4,n,f,64,1605
P15,300,50,N,F,80,1770
P16,250,49,n,f,75,1690
P17,250,37.5,O,F,90,1830
P18,250,72.3,S,O,80,1550
P19,,,,,,
P20,,,,,,
E1,250,38.2,S,f,80,1820
E2,,,,,,
