,Distance from site of stimulation to wrist (mm),Ulnar Nerve Conduction Velocity (m.s-1),Where are you from?   North I/South I/Other,Do you exercise? (Never/Rarely/ Occasionally /Frequently),Index finger length (mm),Height (mm)
P1,270,58.7,north I,rarely,85,1650
P2,310,45.2,s,o,100,1750
P3,260,95.4,north I,Frequently,80,1670
P4,,,,,,
P5,,,,,,
P6,310,54.4,North I,rarely,90,1800
P7,340,41.7,south i,0,85,1780
P8,,,,,,
P9,300,57.2,south i,occasionally,80,1730
P10,270,41.4,north I,Frequently,90,1690
P11,340,60.1,South I,O,90,1820
P12,270,70.8,North I,Frequently,88,1670
P13,320,65.2,S,O,100,1700
P14,,,,,,
P15,270,77.3,North I,O,80,1600
P16,340,54.3,North I,Frequently,85,1750
P17,320,54.5,North I,O,90,1780
P18,270,61.3,North I,O,75,1730
P19,280,49.3,North I ,Frequently,90,1800
P20,310,74.5,South,O,80,1680
E1,,,,,,
E2,275,63.7,O,Frequently,68,1750
