,Distance from site of stimulation to wrist (mm),Ulnar Nerve Conduction Velocity (m.s-1),Where are you from?   North I/South I/Other,Do you exercise? (Never/Rarely/ Occasionally /Frequently),Index finger length (mm),Height (mm)
P1,,,,,,
P2,340,89.2,S,O,84,1871
P3,,44.6,N,F,70,1750
P4,260,71.9,N,F,67,1580
P5,240,47.9,N,O,85,1730
P6,305,61.2,N,F,80,1750
P7,320,17.9,N,O,68,1640
P8,,,,,,
P9,,83.9,O,R,72,1530
P10,,65,South Island, O,87,1700
P11,,53.2,N,F,80,1740
P12,320,59,N,R,88,1820
P13,285,62.8,S,O,80,1602
P14,295,64.3,N,O,80,1630
P15,,,,,,
P16,,59.4,O,O,65,1660
P17,325,34.2,other,O,70,1840
P18,,,,,,
P19,350,47.9,South Island,Frequently,80,2020
P20,,,,,,
E1,,,,,,
E2,,,,,,
