,Distance from site of stimulation to wrist (mm),Ulnar Nerve Conduction Velocity (m.s-1),Where are you from?   North I/South I/Other,Do you exercise? (Never/Rarely/ Occasionally /Frequently),Index finger length (mm),Height (mm)
P1,280,61.5,other,frequently ,70,1690
P2,290,84.7,O,R,72,1630
P3,288,76,North,F,90,1640
P4,,,,,,
P5,315,64.3,other,F,75,1701
P6,115,23.8,north i,occasionally,70,1670
P7,355,72.3,s,f,80,1710
P8,350,68.1,north i,f,80,1740
P9,320,90.7,Sunny Hawkes Bae,Occasionally (Carrington hill for meal time),80,1600
P10,,,,,,
P11,280,61.7,S,O,70,1650
P12,250,51.3,O,O,100,1730
P13,255,53.8,O,N,80,1550
P14,,,,,,
P15,340,56.8,north,frequently,82,1720
P16,280,45.2,South I,frequently,80,1700
P17,270,59.3,South I,O,90,1770
P18,,,,,,
P19,300,52.6,o,occasionally,100,1830
P20,280,80.7,North I,Never,79,1615
E1,150,50,South I,Frequently,72,1810
E2,120,62.3,north,occasionally,75,1782
