,Distance from site of stimulation to wrist (mm),Ulnar Nerve Conduction Velocity (m.s-1),Where are you from?   North I/South I/Other,Do you exercise? (Never/Rarely/ Occasionally /Frequently),Index finger length (mm),Height (mm)
P1,270,67.5,others,R,72,1620
P2,270,46.6,N,F,90,1635
P3,250,58.9,north,f,75,1760
P4,,,,,,
P5,265,62.6,N,F,85,1750
P6,310,61.7,north,F,95,1870
P7,,,,,,
P8,,,,,,
P9,250,47.1,N,R,78,1680
P10,,,,,,
P11,,,,,,
P12,335,56.3,north,R,100,1870
P13,165,24.7,N,O,72,1822
P14,245,71,N,N,75,1650
P15,,,,,,
P16,210,80,north,never,70,1540
P17,280,67,others,f,75,1880
P18,,,,,,
P19,280,66.4,others,o,83,1500
P20,260,51,others,occassionally,80,1550
E1,,,,,,
E2,,,,,,
