,Distance from site of stimulation to wrist (mm),Ulnar Nerve Conduction Velocity (m.s-1),Where are you from?   North I/South I/Other,Do you exercise? (Never/Rarely/ Occasionally /Frequently),Index finger length (mm),Height (mm)
P1,280,60.9,North Island  ,O ,80,1635
P2,,61.8,O,R,72,1600
P3,310,74.4,North I,F,80,1880
P4,260,50.9,North,O,90,1740
P5,260,67.6,North I,O,80,1700
P6,340,62.7,North ,Frequently,80,1880
P7,260,55.4,south,rarely,80,1640
P8,355,83.4,North,Occasionally,90,1780
P9,280,71.4,South,Frequently,88,1742
P10,280,61.2,north,occasionally,70,1690
P11,290,57.1,north island (auks reprazent xD),occasionally ;),70,1660
P12,280,47.9,North Island,Frequently,90,1720
P13,,,,,,
P14,,,,,,
P15,290,51.8,south,Occasionally,95,1940
P16,,,,,,
P17,270,48.1,N,R,90,1710
P18,,,,,,
P19,,,,,,
P20,360,75,Nor,Occasionally,90,1880
E1,260,56,North I,Frequently,90,1730
E2,290,68.5,North Island,Frequently,96,1861
